ImageId,EncodedPixels
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,1 5 513 5 1025 6 1537 6 2049 5 2561 4 3073 2
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,90136 11 90645 18 91154 23 91665 24 92175 27 92687 27 93197 30 93708 30 94219 31 94731 30 95242 30 95754 29 96265 29 96776 29 97285 31 97796 31 98307 32 98819 31 99330 31 99842 30 100353 31 100865 30 101377 30 101889 30 102401 29 102913 28 103425 27 103937 26 104449 26 104964 22 105480 16
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,133281 8 133791 11 134300 15 134786 3 134790 8 134810 18 135290 22 135319 21 135799 28 135828 24 136309 55 136819 57 137329 59 137840 59 138350 61 138860 62 139370 64 139880 65 140390 67 140900 67 141410 69 141920 70 142430 71 142941 71 143452 71 143963 71 144474 71 144986 70 145498 68 146010 67 146522 65 147035 62 147548 59 148062 56 148578 15 148597 31 149091 13 149109 30 149605 11 149621 29 150118 9 150132 29 150633 5 150644 28 151147 1 151155 28 151667 27 152179 26 152691 25 153203 24 153715 22 154227 20 154739 19 155252 17 155765 14 156278 12 156792 7 157305 3
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,149679 3 150188 8 150697 12 151207 14 151717 17 152220 1 152224 1 152226 20 152731 27 153242 28 153754 29 154265 30 154777 30 155289 30 155800 30 156311 31 156823 30 157334 30 157843 32 158354 33 158864 35 159375 37 159886 38 160396 40 160907 41 161418 42 161929 43 162440 44 162951 45 163463 45 163974 46 164484 47 164995 48 165506 49 166018 48 166529 48 167041 46 167553 43 168064 42 168576 41 169088 39 169600 39 170111 39 170621 40 171132 40 171643 38 172154 36 172666 33 173178 30 173690 27 174202 22 174715 18
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,172714 4 173223 8 173732 11 174241 14 174751 16 175261 17 175771 18 176279 22 176789 22 177299 22 177808 22 178317 22 178828 21 179339 19 179850 17 180360 17 180871 17 181382 15 181894 12 182406 9 182919 6 183432 1
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,183510 7 184020 10 184529 15 185041 15 185525 3 185551 18 186032 11 186058 24 186539 19 186560 34 187046 60 187555 65 188064 69 188570 75 189079 79 189589 80 190098 42 190141 40 190600 51 190653 40 191111 93 191623 93 192135 92 192648 89 193161 86 193674 84 194190 78 194705 70 194776 1 195220 58 195734 49 195784 3 196247 42 196762 17 196784 5 196790 5
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,186890 1 187402 6 187914 10 188426 16 188939 17 189451 18 189963 19 190476 22 190988 24 191501 25 192013 28 192525 31 193037 32 193549 33 194062 34 194574 35 195088 34 195601 33 196114 33 196627 33 197140 33 197653 32 198166 32 198678 33 199191 34 199704 34 200217 33 200730 34 201243 33 201756 33 202269 33 202782 32 203296 31 203813 26 204327 25 204840 24 205353 23 205866 22 206379 21 206892 19 207414 10 207927 9 208440 10 208952 12 209464 14 209976 16 210486 20 210997 22 211502 29 212012 32 212523 34 213034 37 213547 37 214060 37 214572 38 215086 37 215600 9 215613 23 216116 3 216126 23 216639 22 217152 21 217664 22 218176 21 218687 23 219193 28 219704 29 220216 28 220728 23 221240 20 221753 18 222268 13 222781 10 223296 5
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,201921 3 202428 11 202937 16 203446 20 203954 25 204464 27 204975 29 205485 31 205996 32 206507 33 207018 34 207529 36 208039 38 208550 42 209061 43 209570 48 210082 48 210593 50 211105 50 211617 52 212129 53 212641 55 213153 57 213665 58 214178 59 214690 60 215202 62 215714 63 216225 64 216737 65 217248 67 217760 67 218272 67 218784 67 219297 66 219811 64 220324 62 220837 60 221353 54 221875 43 222404 24
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,202753 1 203265 5 203777 5 204289 7 204801 8 205313 9 205825 9 206337 10 206849 11 207361 13 207873 15 208385 16 208897 18 209409 19 209921 20 210433 21 210945 21 211457 22 211969 23 212481 25 212993 26 213505 27 214017 28 214529 29 215041 30 215553 32 216065 33 216577 34 217089 35 217601 36 218113 36 218625 37 219137 37 219650 37 220162 38 220674 39 221187 39 221698 40 222210 41 222721 42 223234 42 223746 42 224258 43 224771 43 225283 43 225336 3 225796 42 225844 9 226309 41 226354 12 226821 42 226865 14 227335 57 227848 14 227869 37 228381 38 228892 40 229403 42 229914 45 230425 47 230936 50 231447 51 231958 52 232469 54 232980 55 233491 55 234003 55 234515 55 235027 55 235539 54 236051 53 236564 51 237077 49 237592 43 238108 37 238627 27 239141 22 239660 7
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,224924 20 225416 8 225426 47 225924 64 226434 68 226946 70 227457 72 227969 72 228481 72 228994 71 229507 69 230021 66 230535 62 231049 59 231566 53 232079 52 232132 1 232591 59 233103 67 233615 71 234126 73 234638 77 235151 77 235229 1 235663 81 236176 81 236690 79 237203 77 237719 72 238233 69 238745 6 238762 27 238794 17 239257 5 239768 7 240279 9 240792 9 241304 11 241820 9 242333 8 242846 5
